rank	bigram	count	percent
1020	нu	1554	0.002544
1021	eд	1550	0.002538
1022	жр	1544	0.002528
1023	ря	1544	0.002528
1024	гн	1538	0.002518
1025	dr	1517	0.002484
1026	бб	1514	0.002479
1027	эй	1513	0.002477
1028	zg	1512	0.002476
1029	еү	1509	0.002471
1030	юз	1507	0.002467
1031	яэ	1501	0.002458
1032	юк	1484	0.002430
1033	иы	1483	0.002428
1034	sо	1473	0.002412
1035	ьд	1469	0.002405
1036	ые	1463	0.002395
1037	mt	1456	0.002384
1038	вь	1456	0.002384
1039	zy	1453	0.002379
1040	yб	1451	0.002376
1041	sу	1446	0.002367
1042	eо	1440	0.002358
1043	ms	1439	0.002356
1044	jk	1438	0.002354
1045	sж	1428	0.002338
1046	ua	1427	0.002336
1047	pb	1415	0.002317
1048	бк	1414	0.002315
1049	еы	1411	0.002310
1050	ьр	1410	0.002309
1051	чж	1407	0.002304
1052	tz	1405	0.002300
1053	fi	1403	0.002297
1054	чэ	1397	0.002287
1055	гч	1394	0.002282
1056	yк	1389	0.002274
1057	аk	1386	0.002269
1058	fa	1385	0.002268
1059	ьо	1385	0.002268
1060	яц	1383	0.002264
1061	tm	1379	0.002258
1062	hm	1367	0.002238
1063	rp	1357	0.002222
1064	яш	1356	0.002220
1065	eв	1348	0.002207
1066	vk	1346	0.002204
1067	dn	1342	0.002197
